Olympic Year,Country,Country_Label,Bronze Medal Count,Silver Medal Count,Gold Medal Count
2024,USA,0,42,44,40
2024,China,1,24,27,40
2024,Japan,2,13,12,20
2024,Australia,3,16,19,18
2024,France,4,22,26,16
2024,Netherlands,5,12,7,15
2024,Great Britain,6,29,22,14
2024,Italy,7,15,13,12
2024,Germany,8,8,13,12
2024,Canada,9,11,7,9
2020,USA,0,33,41,39
2020,China,1,19,32,38
2020,Japan,2,17,14,27
2020,Australia,3,22,7,17
2020,France,4,11,12,10
2020,Netherlands,5,14,12,10
2020,Great Britain,6,22,20,22
2020,Italy,7,20,10,10
2020,Germany,8,16,11,10
2020,Canada,9,10,7,7
2016,USA,0,38,37,46
2016,China,1,26,18,26
2016,Japan,2,21,8,12
2016,Australia,3,10,11,8
2016,France,4,14,18,10
2016,Netherlands,5,4,7,8
2016,Great Britain,6,17,23,27
2016,Italy,7,8,12,8
2016,Germany,8,15,10,17
2016,Canada,9,15,3,4
2012,USA,0,30,26,48
2012,China,1,22,31,39
2012,Japan,2,17,14,7
2012,Australia,3,12,15,8
2012,France,4,13,11,11
2012,Netherlands,5,8,6,6
2012,Great Britain,6,18,18,29
2012,Italy,7,11,9,8
2012,Germany,8,13,20,11
2012,Canada,9,10,6,2
2008,USA,0,37,39,36
2008,China,1,30,22,48
2008,Japan,2,8,8,9
2008,Australia,3,17,15,14
2008,France,4,20,16,7
2008,Netherlands,5,4,5,7
2008,Great Britain,6,19,13,19
2008,Italy,7,10,9,8
2008,Germany,8,14,11,16
2008,Canada,9,8,9,3
2004,USA,0,26,39,36
2004,China,1,15,17,32
2004,Japan,2,12,9,16
2004,Australia,3,17,16,17
2004,France,4,13,9,11
2004,Netherlands,5,9,9,4
2004,Great Britain,6,12,9,9
2004,Italy,7,11,11,10
2004,Germany,8,20,16,13
2004,Canada,9,3,6,3
2000,USA,0,32,24,37
2000,China,1,14,16,28
2000,Japan,2,5,8,5
2000,Australia,3,17,25,16
2000,France,4,11,14,13
2000,Netherlands,5,4,9,12
2000,Great Britain,6,7,10,11
2000,Italy,7,13,8,13
2000,Germany,8,26,17,13
2000,Canada,9,8,3,3
1996,USA,0,25,32,44
1996,China,1,12,22,16
1996,Japan,2,5,6,3
1996,Australia,3,23,9,9
1996,France,4,15,7,15
1996,Netherlands,5,10,5,4
1996,Great Britain,6,6,8,1
1996,Italy,7,12,10,13
1996,Germany,8,27,18,20
1996,Canada,9,8,11,3
