Movie Name,ID,Release Date,Revenue in $Millions,Rating,Animation,Adventure,Comedy,Family,Science Fiction,Action,Fantasy,Crime,Thriller,Romance,Music,History,Drama,Mystery,Horror
Kleks Academy,0,20-Dec-23,15.348026,6.2,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Night Swim,1,5-Jan-24,54.768317,5.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Alienoid: The Return to the Future,2,10-Jan-24,10.824208,6.6,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
The Beekeeper,3,12-Jan-24,152.720535,7.344,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Mean Girls,4,12-Jan-24,104.793431,7.21,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
KolpaÃ§ino 4 4'lÃ¼k,5,12-Jan-24,7.343114,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Golden Kamuy,6,19-Jan-24,19.077748,6.638,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Lohusa,7,19-Jan-24,8.809952,4.8,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
Citizen of a Kind,8,24-Jan-24,11.976305,7.438,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
The Master and Margarita,9,25-Jan-24,28.004162,7,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Mobile Suit Gundam SEED Freedom,10,26-Jan-24,36.038764,6.6,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Argylle,11,1-Feb-24,96.221061,6.1,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Autumn and the Black Jaguar,12,1-Feb-24,21.473459,6.6,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
A Million Minutes,13,1-Feb-24,11.07714,6.679,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
The Birth of Korea,14,1-Feb-24,8.022137,5.5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,15,2-Feb-24,44.354825,6.5,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Cocorico,16,7-Feb-24,18.259571,5.5,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Lisa Frankenstein,17,9-Feb-24,9.927714,6.3,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
Mai,18,10-Feb-24,21.714524,7.1,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Yolo,19,10-Feb-24,7.241561,6.3,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Bob Marley: One Love,20,14-Feb-24,180.828556,6.743,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Madame Web,21,14-Feb-24,100.498764,5.424,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Lyod 3,22,14-Feb-24,20.615744,6.6,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Maison de retraite 2,23,14-Feb-24,11.227393,5.284,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Cat and Dog,24,14-Feb-24,10.740923,6.2,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Haikyu!! The Dumpster Battle,25,16-Feb-24,100.255784,7.5,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Undercover,26,19-Feb-24,8.335766,7.2,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
Exhuma,27,22-Feb-24,93.891418,7.6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Wicked Little Letters,28,23-Feb-24,27.219729,6.953,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Ordinary Angels,29,23-Feb-24,20.571534,7.805,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Article 370,30,23-Feb-24,13.222021,6.583,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
Drive-Away Dolls,31,23-Feb-24,7.935363,5.461,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
Ducobu passe au vert!,32,27-Feb-24,7.51005,4.7,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Dune: Part Two,33,28-Feb-24,714.444358,8.2,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Doraemon the Movie: Nobita's Earth Symphony,34,1-Mar-24,33.399912,6.9,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Onegin,35,7-Mar-24,9.20168,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Kung Fu Panda 4,36,8-Mar-24,547.689492,7.074,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
Imaginary,37,8-Mar-24,43.787034,6.039,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Cabrini,38,8-Mar-24,20.590343,7.8,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Love Lies Bleeding,39,8-Mar-24,12.778206,6.6,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
A Strange House,40,15-Mar-24,30.864331,6.9,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Letuchiy korabl,41,21-Mar-24,12.886684,5.2,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
Ghostbusters: Frozen Empire,42,22-Mar-24,201.967521,6.5,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
Arthur the King,43,22-Mar-24,40.81519,7.761,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Immaculate,44,22-Mar-24,35.340016,6.247,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Late Night with the Devil,45,22-Mar-24,15.469415,7.203,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Chantal in Fairyland,46,28-Mar-24,29.663607,5.7,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
Un mondo a parte,47,28-Mar-24,8.108856,6.536,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Godzilla x Kong: The New Empire,48,29-Mar-24,571.750016,7.1,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
The First Omen,49,5-Apr-24,53.84588,6.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Monkey Man,50,5-Apr-24,35.271631,6.932,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
A Little Something Extra,51,10-Apr-24,84.044095,7.142,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Detective Conan: The Million-Dollar Pentagram,52,12-Apr-24,108.136957,6.8,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No
Back to Black,53,12-Apr-24,50.996759,6.667,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Guest from the Future,54,18-Apr-24,15.90029,7.6,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Abigail,55,19-Apr-24,42.791449,6.802,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
The Ministry of Ungentlemanly Warfare,56,19-Apr-24,29.715044,7.115,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Blue Lock: Episode Nagi,57,19-Apr-24,14.291561,7.527,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
The Roundup: Punishment,58,24-Apr-24,80.426848,6.8,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No
Civil War,59,26-Apr-24,126.185957,6.9,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Challengers,60,26-Apr-24,96.019408,7,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Unsung Hero,61,26-Apr-24,21.214331,6.593,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Face Off 7: One Wish,62,26-Apr-24,19.35376,8,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Twilight of the Warriors: Walled In,63,1-May-24,17.111121,7,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
The Fall Guy,64,3-May-24,181.073291,7.1,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Tarot,65,3-May-24,49.256239,6.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Kingdom of the Planet of the Apes,66,10-May-24,397.37815,7.1,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
"La planÃ¨te des singes, une odyssÃ©e de l'espÃ¨ce",67,10-May-24,19.515102,7.8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Following,68,15-May-24,8.798081,7.148,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
IF,69,17-May-24,190.309707,7.199,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
The Strangers: Chapter 1,70,17-May-24,48.166448,5.8,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Furiosa: A Mad Max Saga,71,23-May-24,173.775791,7.514,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
The Garfield Movie,72,24-May-24,234.572723,7.117,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Abudeka Is Back,73,24-May-24,9.163586,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
Uma Musume: Pretty Derby - Beginning of a New Era,74,24-May-24,8.551637,8.7,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Sight,75,24-May-24,7.206741,6,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Bad Boys: Ride or Die,76,7-Jun-24,404.547819,7.468,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
The Watchers,77,7-Jun-24,33.271404,6.484,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Inside Out 2,78,14-Jun-24,1698.772985,7.566,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Dear Family,79,14-Jun-24,8.528605,8,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
The Bikeriders,80,21-Jun-24,36.087646,6.8,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Kinds of Kindness,81,21-Jun-24,16.398509,6.6,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Hijack 1971,82,21-Jun-24,14.602614,6.394,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Thelma,83,21-Jun-24,12.419513,6.976,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
The Exorcism,84,21-Jun-24,9.65944,5.037,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Handsome Guys,85,26-Jun-24,14.43961,6.9,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Kalki 2898 AD,86,27-Jun-24,25.331842,6.5,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
A Quiet Place: Day One,87,28-Jun-24,261.786322,6.776,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
Horizon: An American Saga - Chapter 1,88,28-Jun-24,38.235702,6.987,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Despicable Me 4,89,3-Jul-24,969.126452,7.1,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Escape,90,3-Jul-24,18.456373,3.438,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
A Smile Doesn't Lie,91,3-Jul-24,9.21157,5.818,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Sound of Hope: The Story of Possum Trot,92,4-Jul-24,11.721425,6.8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
MaXXXine,93,5-Jul-24,22.05716,6.386,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Longlegs,94,12-Jul-24,126.942386,6.623,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes
Kingdom 4: Return of the Great General,95,12-Jul-24,54.114815,6.917,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Father There is Only One 4,96,17-Jul-24,14.668098,7,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Twisters,97,19-Jul-24,370.962265,6.905,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
